SettlementPoint,Year,HourlyVolatility
HB_BUSAVG,2016,0.1857728659720292
HB_BUSAVG,2017,0.15409213165269256
HB_BUSAVG,2018,0.20025431760641652
HB_BUSAVG,2019,0.2493778344995217
HB_HOUSTON,2016,0.19109873836659247
HB_HOUSTON,2017,0.1704773475157557
HB_HOUSTON,2018,0.20024358737813341
HB_HOUSTON,2019,0.2479460738068012
HB_HUBAVG,2016,0.18795653971215676
HB_HUBAVG,2017,0.15868683659054766
HB_HUBAVG,2018,0.2021210328070982
HB_HUBAVG,2019,0.25064801027903566
HB_NORTH,2016,0.18418051167623448
HB_NORTH,2017,0.1525752247514336
HB_NORTH,2018,0.20015889840339215
HB_NORTH,2019,0.24961847797335263
HB_PAN,2019,0.631634530502214
HB_SOUTH,2016,0.20902615565426785
HB_SOUTH,2017,0.15614468087549524
HB_SOUTH,2018,0.19868392231681184
HB_SOUTH,2019,0.24898029043091205
HB_WEST,2016,0.2088489833052407
HB_WEST,2017,0.24762755114220208
HB_WEST,2018,0.30251162890279243
HB_WEST,2019,0.33660737515064615
